what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287465956
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287467031
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634287469727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1634287475879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287476899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287479025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287479056
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287481132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287481141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287483354
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287486539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287491857
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287492852
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287495871
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287498790
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287499889
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287501004
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287503236
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287505352
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634287506597
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287508485
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634287508510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287510564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287515739
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287516718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634287519831
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287524605
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634287562210
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634287602813
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1634287602870
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287605598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287607806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287607817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287610914
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1634287611860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287613939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287622740
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634287623665
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634287625144
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1634287625658
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1634287626364
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1634287626964
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1634287684063
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634287700071
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634287700511
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634287700665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287708246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287710358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287710368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287714888
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1634287715850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287717995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287720252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287732014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287742182
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634287743245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287747116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287806112
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1634287806128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287809513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287811026
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634287811208
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1634287811359
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1634287811359
stopped,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1634287812359
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1634287812359
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1634287812359
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1634287812360
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1634287812360
